hospital,C_sec_uncomp_rate,vbac,births_per_bed,HPSA_SHORTAGE,HPSA_SHORTAGE_0_1,TOC_acute_div_by_beds,female_patients_percent,hispanic_percent,white_percent,Admt_Newborn,Payer_Medi_Cal_percent,Payer_Priv_Coverage_percent,Payer_Self_Pay_percent,nicu_div_by_births,BirthDefects_div_by_births,Dx_preg_percent,PCT200POV
Saint Rose Hospital,25.7,0,2.889779559,0,0,24.65330661,57.03137701,50,94,717,55,10,1,0,0,0.122256544,24.16
Eden Medical Center,20.2,4.1,8.240963855,0,0,74.3935743,55.23645001,30,98,1020,26,31,2,0,0.005847953,0.113906284,14.2
Valleycare Medical Center,32.5,2.8,7.971346705,0,0,49.82808023,59.65702036,11,99,1392,17,37,1,0.146657081,0.002156722,0.162622197,10.15
Washington Hospital – Fremont,30.8,2.2,4.645807259,0,0,34.38297872,58.437682,19,98,1856,13,39,2,0,0.005926724,0.139997088,13.02
Highland Hospital,19.1,32.2,5.338677355,0,0,46.10821643,48.09757391,56,95,1329,65,9,2,0.172672673,0.00975976,0.133084145,51.2
Kaiser Foundation Hospital – Oakland/Richmond,22.7,28.8,7.266583229,0,0,57.64455569,58.46975553,27,99,2893,11,51,2,0.095074061,0.081639683,0.132702245,22.73
Kaiser Foundation Hospital – San Leandro,23,21,15.10220441,0,0,60.30460922,63.56022334,41,98,3768,7,63,1,0.044320594,0.001061571,0.261930081,24.16
Alta Bates Summit Medical Center – Alta Bates Campus,21.6,33.5,14.77596996,0,0,49.77972466,68.2087901,39,98,5853,43,35,1,0.163815009,0.000677622,0.32704782,18.89
Sutter Amador Hospital,39,2.3,3.919463087,0,0,35.38255034,56.86646434,6,100,292,28,18,1,0,0,0.123672231,24.38
Oroville Hospital,35.4,1.3,3.598393574,0.35,1,103.1164659,54.38541829,7,100,448,43,9,1,0,0.011160714,0.041906839,47.18
Feather River Hospital,24.8,1.2,7.092369478,0,0,45.06024096,61.12299465,5,100,880,32,19,1,0,0,0.162566845,32.65
Enloe Medical Center – Esplanade,25.2,10.7,6.553106212,0,0,67.31863727,54.5232816,12,100,1632,26,26,0,0.018960245,0.003669725,0.102881638,42.26
